HIGH    ,Mark Garcia,Master of Public Health (M.P.H.),97,dentistry, --> Radiologic Technologist Placement,dentistry,58,HealthPro Solutions
HIGH   ,Whitney Morgan,Doctor of Pharmacy (Pharm.D.),70,dentistry, --> Radiologic Technologist Placement,dentistry,58,HealthPro Solutions




HIGH   ,Stephanie Norman,Doctor of Dental Medicine (D.M.D.),58,dentistry, --> Radiologic Technologist Placement,dentistry,58,HealthPro Solutions
MEDIUM   ,Michael Oliver,Doctor of Dental Surgery (D.D.S.),75,nutrition, --> Radiologic Technologist Placement,nutrition,90,MediCare Innovations




HIGH   ,Andrea Smith,Master of Health Administration (M.H.A.),78,dentistry, --> Radiologic Technologist Placement,dentistry,58,HealthPro Solutions
MEDIUM   ,Joseph Snyder,Doctor of Dental Medicine (D.M.D.),56,nutrition, --> Radiologic Technologist Placement,nutrition,90,MediCare Innovations
HIGH   ,Kimberly Torres,Doctor of Physical Therapy (D.P.T.),94,dentistry, --> Radiologic Technologist Placement,dentistry,58,HealthPro Solutions
MEDIUM   ,Jacqueline Myers,Doctor of Nursing Practice (D.N.P.),65,nutrition, --> Radiologic Technologist Placement,nutrition,90,MediCare Innovations
HIGH   ,Timothy Neal,Doctor of Chiropractic (D.C.),98,nursing, --> Physician Placement,nursing,59,BioHealth Therapeutics
HIGH   ,Lauren Thomas,Bachelor of Science in Nursing (B.S.N.),59,nursing, --> Physician Placement,nursing,59,BioHealth Therapeutics
HIGH   ,Jeremy Jordan,Doctor of Osteopathic Medicine (D.O.),67,dentistry, --> Radiologic Technologist Placement,dentistry,58,HealthPro Solutions
MEDIUM   ,Patrick Adams,Doctor of Dental Medicine (D.M.D.),76,surgery, --> Physical Therapist Placement,surgery,95,BioHealth Therapeutics
HIGH   ,Abigail Martin,Doctor of Physical Therapy (D.P.T.),88,nursing, --> Physician Placement,nursing,59,BioHealth Therapeutics
MEDIUM   ,Tyler Page,Bachelor of Science in Nursing (B.S.N.),73,surgery, --> Physical Therapist Placement,surgery,95,BioHealth Therapeutics
HIGH   ,Barbara Williams,Doctor of Optometry (O.D.),92,dentistry, --> Radiologic Technologist Placement,dentistry,58,HealthPro Solutions
HIGH   ,Christopher Cooper,Bachelor of Science in Nursing (B.S.N.),96,nutrition, --> Radiologic Technologist Placement,nutrition,90,MediCare Innovations
HIGH   ,Taylor Fowler,Doctor of Medicine (M.D.),71,nursing, --> Physician Placement,nursing,59,BioHealth Therapeutics
